test_id,model,dataset,datasetSize,threads,queryName,queryType,elapsedTime,numEntities,numMachines,querySelectivity,temporalRangeIndex,iteration
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,67,10,1,increased,0,0
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,706128,100,1,increased,0,0
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,MaintenanceOwners,edgesDirection,55771761,100,1,increased,0,0
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,EnvironmentAlert,edgesDirection,58694382,74,1,increased,0,0
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,AgentOutlier,edgesDirection,5610,100,1,increased,0,0
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,AgentHistory,edgesDirection,62,1,1,increased,0,0
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,69,10,1,increased,0,0
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,704169,100,1,increased,0,0
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,MaintenanceOwners,edgesDirection,56396841,100,1,increased,0,0
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,EnvironmentAlert,edgesDirection,59364806,74,1,increased,0,0
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,AgentOutlier,edgesDirection,5531,100,1,increased,0,0
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,AgentHistory,edgesDirection,57,1,1,increased,0,0
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,61,10,1,increased,0,1
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,707506,100,1,increased,0,1
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,MaintenanceOwners,edgesDirection,56087938,100,1,increased,0,1
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,EnvironmentAlert,edgesDirection,59099778,74,1,increased,0,1
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,AgentOutlier,edgesDirection,6415,100,1,increased,0,1
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,AgentHistory,edgesDirection,59,1,1,increased,0,1
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,59,10,1,increased,0,2
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,711272,100,1,increased,0,2
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,MaintenanceOwners,edgesDirection,56034997,100,1,increased,0,2
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,EnvironmentAlert,edgesDirection,59125001,74,1,increased,0,2
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,AgentOutlier,edgesDirection,5582,100,1,increased,0,2
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,AgentHistory,edgesDirection,57,1,1,increased,0,2
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,67,10,1,increased,0,1
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,706128,100,1,increased,0,1
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,MaintenanceOwners,edgesDirection,55771761,100,1,increased,0,1
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,EnvironmentAlert,edgesDirection,58694382,74,1,increased,0,1
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,AgentOutlier,edgesDirection,5610,100,1,increased,0,1
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,AgentHistory,edgesDirection,62,1,1,increased,0,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25046,200,1,None,0,0
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1,None,0,0
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,226,20,1,None,0,0
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25399,200,1,None,0,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1,None,0,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,256,20,1,None,0,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25080,200,1,None,0,2
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,18,1,1,None,0,2
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,264,20,1,None,0,2
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25135,200,1,None,0,3
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,17,1,1,None,0,3
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,240,20,1,None,0,3
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25419,200,1,None,0,4
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1,None,0,4
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,258,20,1,None,0,4
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25133,200,1,None,0,5
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1,None,0,5
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,222,20,1,None,0,5
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25667,200,1,None,0,6
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1,None,0,6
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,214,20,1,None,0,6
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,24877,200,1,None,0,7
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1,None,0,7
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,222,20,1,None,0,7
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25482,200,1,None,0,8
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1,None,0,8
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,220,20,1,None,0,8
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,26062,200,1,None,0,9
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1,None,0,9
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,230,20,1,None,0,9
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25232,200,1,None,0,10
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,18,1,1,None,0,10
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,237,20,1,None,0,10
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25477,200,1,None,0,11
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,19,1,1,None,0,11
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,256,20,1,None,0,11
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25116,200,1,None,0,12
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1,None,0,12
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,224,20,1,None,0,12
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,24805,200,1,None,0,13
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1,None,0,13
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,212,20,1,None,0,13
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25154,200,1,None,0,14
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1,None,0,14
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,223,20,1,None,0,14
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,24887,200,1,None,0,15
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1,None,0,15
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,215,20,1,None,0,15
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,24859,200,1,None,0,16
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1,None,0,16
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,218,20,1,None,0,16
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,24742,200,1,None,0,17
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1,None,0,17
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,233,20,1,None,0,17
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25477,200,1,None,0,18
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,18,1,1,None,0,18
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,242,20,1,None,0,18
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25435,200,1,None,0,19
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1,None,0,19
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,224,20,1,None,0,19
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25168,200,1,None,0,20
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1,None,0,20
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,221,20,1,None,0,20
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25114,200,1,None,0,21
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1,None,0,21
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,220,20,1,None,0,21
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25452,200,1,None,0,22
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1,None,0,22
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,218,20,1,None,0,22
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25184,200,1,None,0,23
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1,None,0,23
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,238,20,1,None,0,23
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25118,200,1,None,0,24
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,15,1,1,None,0,24
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,249,20,1,None,0,24
